Pos,Club,P,W,D,L,GF,GA,GD,Pts
1,JKT Tanzania,10,4,5,1,12,8,4,17
2,Young Africans,6,5,1,0,12,1,11,16
3,Pamba Jiji,9,4,4,1,11,6,5,16
4,Mashujaa,9,3,4,2,5,4,1,13
5,Simba,5,4,0,1,11,3,8,12
6,Namungo,8,3,3,2,7,7,0,12
7,Mtibwa Sugar,8,2,4,2,4,4,0,10
8,Fountain Gate,10,3,1,6,4,12,-8,10
9,Azam,5,2,3,0,6,2,4,9
10,TRA United,7,2,3,2,7,6,1,9
11,Coastal Union,8,2,3,3,5,6,-1,9
12,Singida BS,5,2,2,1,4,4,0,8
13,Mbeya City,10,2,2,6,7,13,-6,8
14,Tanzania Prisons,7,2,1,4,3,5,-2,7
15,Dodoma Jiji,8,1,3,4,4,9,-5,6
16,KMC,9,1,1,7,2,14,-12,4
