,Rank,"Release Group
",Worldwide,Domestic,%,Foreign,%
0,1,28 Years Later: The Bone Temple,"$46,685,795","$21,385,795",45.8%,"$25,300,000",54.2%
1,2,Primate,"$30,890,679","$23,890,679",77.3%,"$7,000,000",22.7%
2,3,Greenland 2: Migration,"$23,293,277","$17,198,087",73.8%,"$6,095,190",26.2%
3,4,Mercy,"$16,427,896","$13,186,005",80.3%,"$3,241,891",19.7%
4,5,Extrawurst,"$9,880,471",-,-,"$9,880,471",100%
5,6,The Lord of the Rings: The Return of the King 2026  Re-release,"$7,586,053","$3,971,340",52.4%,"$3,614,713",47.6%
6,7,Return to Silent Hill,"$7,105,217","$3,252,000",45.8%,"$3,853,217",54.2%
7,8,The Lord of the Rings: The Fellowship of the Ring 2026  Re-release,"$6,754,745","$5,940,331",87.9%,"$814,414",12.1%
8,9,Checker Tobi 3: Die heimliche Herrscherin der Erde,"$5,996,894",-,-,"$5,996,894",100%
9,10,Bloody Heaven,"$4,733,027",-,-,"$4,733,027",100%
10,11,The Lord of the Rings: The Two Towers 2026  Re-release,"$4,375,353","$4,093,642",93.6%,"$281,711",6.4%
11,12,The Three Investigators: Isle of Death,"$4,100,000",-,-,"$4,100,000",100%
12,13,We Bury the Dead,"$3,728,836","$3,690,522",99%,"$38,314",1%
13,14,D.I.S.C.O.,"$3,661,689",-,-,"$3,661,689",100%
14,15,Dragoste la tara,"$2,953,585",-,-,"$2,953,585",100%
15,16,The Money Maker,"$2,534,877",-,-,"$2,534,877",100%
16,17,Abuela Tremenda,"$2,384,537",-,-,"$2,384,537",100%
17,18,The Wizard of the Kremlin,"$2,349,034",-,-,"$2,349,034",100%
18,19,Kardes Takimi 3,"$2,131,329",-,-,"$2,131,329",100%
19,20,Dead Man's Wire,"$2,102,287","$2,099,053",99.8%,"$3,234",0.2%
20,21,I Was a Stranger,"$1,998,793","$1,998,793",100%,-,-
21,22,Con Ke Ba Nghe,"$1,834,751",-,-,"$1,834,751",100%
