,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,"Form, Last 6 games, Oldest first"
0,1Arsenal,8,8,0,0,23,4,19,24,WResult WinWResult WinWResult WinWResult WinWResult WinWResult Win
1,2Bayern Munich,8,7,0,1,22,8,14,21,WResult WinWResult WinLResult LossWResult WinWResult WinWResult Win
2,3Liverpool,8,6,0,2,20,8,12,18,WResult WinWResult WinLResult LossWResult WinWResult WinWResult Win
3,4Tottenham Hotspur,8,5,2,1,17,7,10,17,DResult DrawWResult WinLResult LossWResult WinWResult WinWResult Win
4,5Barcelona,8,5,1,2,22,14,8,16,WResult WinDResult DrawLResult LossWResult WinWResult WinWResult Win
5,6Chelsea,8,5,1,2,17,10,7,16,WResult WinDResult DrawWResult WinLResult LossWResult WinWResult Win
6,7Sporting CP,8,5,1,2,17,11,6,16,WResult WinDResult DrawWResult WinLResult LossWResult WinWResult Win
7,8Manchester City,8,5,1,2,15,9,6,16,WResult WinWResult WinLResult LossWResult WinLResult LossWResult Win
8,9Real Madrid,8,5,0,3,21,12,9,15,WResult WinLResult LossWResult WinLResult LossWResult WinLResult Loss
9,10Inter Milan,8,5,0,3,15,7,8,15,WResult WinWResult WinLResult LossLResult LossLResult LossWResult Win
10,11Paris Saint-Germain,8,4,2,2,21,11,10,14,WResult WinLResult LossWResult WinDResult DrawLResult LossDResult Draw
11,12Newcastle United,8,4,2,2,17,7,10,14,WResult WinWResult WinLResult LossDResult DrawWResult WinDResult Draw
12,13Juventus,8,3,4,1,14,10,4,13,LResult LossDResult DrawWResult WinWResult WinWResult WinDResult Draw
13,14Atletico Madrid,8,4,1,3,17,15,2,13,LResult LossWResult WinWResult WinWResult WinDResult DrawLResult Loss
14,15Atalanta,8,4,1,3,10,10,0,13,DResult DrawWResult WinWResult WinWResult WinLResult LossLResult Loss
15,16Bayer Leverkusen,8,3,3,2,13,14,-1,12,LResult LossWResult WinWResult WinDResult DrawLResult LossWResult Win
16,17Borussia Dortmund,8,3,2,3,19,17,2,11,WResult WinLResult LossWResult WinDResult DrawLResult LossLResult Loss
17,18Olympiakos,8,3,2,3,10,14,-4,11,LResult LossDResult DrawLResult LossWResult WinWResult WinWResult Win
18,19Club Brugge,8,3,1,4,15,17,-2,10,LResult LossDResult DrawLResult LossLResult LossWResult WinWResult Win
19,20Galatasaray,8,3,1,4,9,11,-2,10,WResult WinWResult WinLResult LossLResult LossDResult DrawLResult Loss
20,21Monaco,8,2,4,2,8,14,-6,10,DResult DrawWResult WinDResult DrawWResult WinLResult LossDResult Draw
21,22QarabaÄ,8,3,1,4,13,21,-8,10,LResult LossDResult DrawLResult LossLResult LossWResult WinLResult Loss
22,23BodÃ¸ / Glimt,8,2,3,3,14,15,-1,9,LResult LossLResult LossLResult LossDResult DrawWResult WinWResult Win
23,24Benfica,8,3,0,5,10,12,-2,9,LResult LossLResult LossWResult WinWResult WinLResult LossWResult Win
24,25Marseille,8,3,0,5,11,14,-3,9,LResult LossLResult LossWResult WinWResult WinLResult LossLResult Loss
25,26Pafos,8,2,3,3,8,11,-3,9,DResult DrawWResult WinDResult DrawLResult LossLResult LossWResult Win
26,27Union Saint-Gilloise,8,3,0,5,8,17,-9,9,LResult LossLResult LossWResult WinLResult LossLResult LossWResult Win
27,28PSV,8,2,2,4,16,16,0,8,WResult WinDResult DrawWResult WinLResult LossLResult LossLResult Loss
28,29Athletic Club,8,2,2,4,9,14,-5,8,WResult WinLResult LossDResult DrawDResult DrawWResult WinLResult Loss
29,30Napoli,8,2,2,4,9,15,-6,8,LResult LossDResult DrawWResult WinLResult LossDResult DrawLResult Loss
30,31Copenhagen,8,2,2,4,12,21,-9,8,LResult LossLResult LossWResult WinWResult WinDResult DrawLResult Loss
31,32Ajax,8,2,0,6,8,21,-13,6,LResult LossLResult LossLResult LossWResult WinWResult WinLResult Loss
32,33Eintracht Frankfurt,8,1,1,6,10,21,-11,4,LResult LossDResult DrawLResult LossLResult LossLResult LossLResult Loss
33,34Slavia Prague,8,0,3,5,5,19,-14,3,DResult DrawLResult LossDResult DrawLResult LossLResult LossLResult Loss
34,35Villarreal,8,0,1,7,5,18,-13,1,LResult LossLResult LossLResult LossLResult LossLResult LossLResult Loss
35,36Kairat,8,0,1,7,7,22,-15,1,DResult DrawLResult LossLResult LossLResult LossLResult LossLResult Loss
